,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
152,female,group B,associate's degree,standard,completed,59,70,66
685,female,group E,master's degree,standard,completed,94,99,100
315,male,group C,high school,standard,none,71,66,65
823,female,group B,high school,free/reduced,none,71,87,82
116,female,group B,bachelor's degree,free/reduced,none,75,85,82
510,male,group D,some college,standard,none,76,71,73
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
647,female,group E,high school,free/reduced,none,64,62,68
686,male,group E,some college,standard,completed,85,75,68
859,male,group C,associate's degree,free/reduced,none,87,73,72
307,male,group C,some high school,standard,none,51,52,44
942,male,group C,high school,standard,none,81,66,64
167,female,group B,master's degree,free/reduced,completed,58,76,78
467,male,group A,high school,free/reduced,completed,72,67,65
30,female,group D,some college,standard,none,69,74,74
345,female,group C,high school,standard,none,72,80,75
429,male,group C,some high school,free/reduced,none,68,63,54
37,female,group D,some high school,free/reduced,none,50,64,59
100,male,group B,some college,standard,none,79,67,67
514,female,group B,master's degree,free/reduced,completed,77,97,94
245,male,group C,associate's degree,standard,none,85,76,71
80,female,group B,associate's degree,standard,none,47,49,50
852,female,group E,some college,standard,none,87,85,93
84,male,group D,high school,free/reduced,none,42,39,34
858,male,group B,high school,standard,completed,52,49,46
573,female,group C,high school,free/reduced,completed,50,66,64
284,female,group B,some high school,standard,none,37,46,46
646,female,group D,associate's degree,standard,none,59,70,65
242,female,group D,high school,standard,none,56,52,55
731,male,group A,some high school,free/reduced,none,55,46,43
157,male,group B,some college,free/reduced,none,60,60,60
971,male,group C,some high school,standard,completed,78,72,69
635,male,group A,high school,standard,none,71,74,64
894,female,group E,associate's degree,standard,none,59,62,69
799,female,group C,associate's degree,standard,none,52,55,57
631,male,group B,high school,standard,none,79,60,65
753,female,group C,some high school,standard,completed,77,90,85
600,female,group D,master's degree,standard,none,54,60,63
35,male,group E,associate's degree,standard,completed,81,81,79
949,female,group E,high school,free/reduced,completed,57,75,73
802,female,group E,associate's degree,standard,none,87,94,95
293,female,group E,bachelor's degree,standard,none,65,73,75
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
260,female,group C,some high school,free/reduced,completed,64,79,77
742,female,group C,high school,standard,none,81,84,82
676,female,group E,some college,standard,completed,73,78,76
571,male,group A,bachelor's degree,standard,none,91,96,92
99,female,group D,bachelor's degree,standard,none,65,67,62
78,female,group D,some high school,standard,completed,61,74,72
132,male,group E,some college,free/reduced,completed,87,74,70
87,female,group D,associate's degree,standard,none,71,71,74
292,male,group C,some high school,standard,completed,63,60,57
781,female,group B,master's degree,standard,none,77,90,84
237,female,group D,some high school,standard,completed,64,60,74
623,male,group A,some college,standard,completed,100,96,86
108,female,group B,associate's degree,free/reduced,none,52,76,70
851,female,group A,high school,standard,none,61,68,63
743,female,group C,associate's degree,standard,completed,59,73,72
175,female,group C,master's degree,standard,completed,81,91,87
323,female,group C,some high school,free/reduced,none,43,53,53
487,female,group C,associate's degree,free/reduced,none,60,75,74
447,male,group C,high school,standard,completed,86,81,80
887,male,group C,high school,free/reduced,none,54,72,59
161,female,group E,some college,free/reduced,completed,75,88,85
384,female,group A,some high school,free/reduced,none,38,43,43
353,female,group C,associate's degree,standard,none,46,58,57
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
254,male,group D,high school,standard,none,54,52,52
485,male,group C,high school,standard,none,70,74,71
621,male,group B,bachelor's degree,free/reduced,none,62,63,56
705,male,group A,bachelor's degree,free/reduced,none,62,72,65
7,male,group B,some college,free/reduced,none,40,43,39
141,female,group C,some college,free/reduced,none,59,62,64
538,male,group E,bachelor's degree,standard,completed,85,66,71
786,female,group E,some high school,free/reduced,none,72,79,77
183,female,group D,associate's degree,standard,none,65,69,70
699,male,group C,high school,free/reduced,none,66,66,59
102,female,group D,associate's degree,standard,none,85,91,89
322,female,group C,some college,standard,none,71,81,80
716,male,group C,associate's degree,standard,completed,73,78,72
56,female,group E,associate's degree,standard,completed,82,85,86
479,male,group E,associate's degree,standard,none,76,71,67
33,male,group D,some college,standard,none,40,42,38
126,male,group B,some high school,standard,none,72,68,67
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
885,female,group C,associate's degree,standard,completed,62,76,80
675,female,group B,some college,standard,completed,50,64,66
184,male,group C,some high school,free/reduced,completed,45,52,49
309,female,group D,high school,free/reduced,none,49,57,52
658,female,group D,associate's degree,free/reduced,none,43,60,58
835,female,group C,high school,standard,completed,60,64,74
812,female,group C,master's degree,standard,completed,54,64,67
262,female,group C,some high school,free/reduced,none,44,50,51
358,male,group D,some college,free/reduced,none,59,62,61
672,female,group C,some college,standard,none,69,78,76
413,male,group B,some high school,standard,completed,63,67,67
629,female,group C,some high school,standard,completed,44,51,55
20,male,group D,high school,standard,none,66,69,63
220,female,group D,high school,standard,completed,56,68,74
456,female,group D,bachelor's degree,standard,none,79,89,89
619,male,group C,associate's degree,free/reduced,completed,65,73,68
370,male,group E,some college,standard,none,84,77,71
302,female,group C,associate's degree,standard,completed,67,84,81
159,male,group D,associate's degree,free/reduced,none,66,62,64
47,female,group C,high school,standard,none,66,71,76
399,male,group D,some high school,standard,none,60,59,54
702,male,group A,bachelor's degree,standard,completed,87,84,87
278,female,group C,some high school,free/reduced,none,65,86,80
166,male,group C,high school,free/reduced,completed,53,51,51
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
730,female,group B,associate's degree,free/reduced,completed,68,77,80
718,female,group C,high school,standard,none,76,76,74
169,female,group C,some college,free/reduced,completed,67,75,70
441,female,group D,high school,standard,none,78,81,80
719,male,group E,associate's degree,free/reduced,completed,91,73,80
386,female,group E,bachelor's degree,standard,none,64,73,70
379,male,group A,bachelor's degree,standard,none,66,64,62
351,male,group E,some college,standard,none,66,57,52
147,male,group C,associate's degree,free/reduced,none,73,68,66
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
492,female,group C,some college,standard,none,83,83,90
115,male,group C,high school,standard,none,84,77,74
687,male,group D,associate's degree,free/reduced,none,77,78,73
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
879,female,group D,associate's degree,standard,none,64,76,74
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
65,male,group B,some high school,standard,none,67,64,61
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72
76,male,group E,some high school,standard,none,30,26,22
969,female,group B,bachelor's degree,standard,none,75,84,80
276,female,group C,some high school,standard,completed,85,92,93
383,female,group E,some high school,free/reduced,none,38,49,45
272,female,group D,associate's degree,free/reduced,none,47,53,58
524,male,group C,high school,standard,completed,53,52,49
311,male,group B,bachelor's degree,standard,none,66,60,57
500,female,group D,master's degree,standard,none,74,79,82
28,male,group C,high school,standard,none,70,70,65
202,male,group C,associate's degree,standard,none,69,77,69
164,female,group E,master's degree,standard,none,81,92,91
69,female,group C,associate's degree,standard,none,39,64,57
867,male,group B,associate's degree,standard,none,61,42,41
869,male,group C,associate's degree,free/reduced,none,49,51,51
97,female,group E,some college,standard,completed,63,72,70
807,female,group E,high school,free/reduced,none,41,45,40
130,male,group D,master's degree,standard,none,89,84,82
815,male,group B,some high school,standard,completed,94,86,87
998,female,group D,some college,standard,completed,68,78,77
497,female,group D,some college,free/reduced,completed,59,78,76
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
96,male,group B,some high school,standard,completed,65,66,62
664,male,group D,associate's degree,standard,none,80,63,63
273,female,group D,some college,standard,none,65,70,71
832,male,group A,bachelor's degree,standard,none,64,60,58
224,female,group B,associate's degree,standard,completed,52,66,73
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
303,male,group B,associate's degree,standard,none,80,76,64
495,male,group D,high school,standard,completed,68,64,66
499,male,group E,some college,standard,none,76,71,72
151,male,group A,bachelor's degree,standard,none,77,67,68
970,female,group D,bachelor's degree,standard,none,89,100,100
734,female,group E,some college,free/reduced,none,53,58,57
501,female,group B,associate's degree,standard,completed,94,87,92
577,female,group B,high school,standard,none,81,91,89
402,female,group A,some college,free/reduced,none,49,65,55
110,female,group D,associate's degree,free/reduced,completed,77,89,98
431,female,group C,high school,standard,none,61,72,70
21,female,group B,some college,free/reduced,completed,65,75,70
170,male,group A,high school,standard,completed,72,73,74
951,female,group D,some college,standard,completed,75,77,83
912,female,group C,bachelor's degree,standard,completed,52,61,66
948,male,group B,some high school,free/reduced,completed,49,50,52
810,male,group A,some high school,standard,none,51,31,36
72,female,group A,associate's degree,free/reduced,none,41,51,48
650,male,group C,some high school,free/reduced,completed,51,56,53
215,male,group B,some high school,standard,completed,84,83,75
893,male,group D,some high school,standard,completed,88,74,75
764,male,group D,some college,standard,none,60,63,59
666,female,group C,some college,free/reduced,completed,63,73,71
105,female,group C,some college,standard,none,58,67,72
10,male,group C,associate's degree,standard,none,58,54,52
947,female,group D,some college,free/reduced,none,49,58,60
997,female,group C,high school,free/reduced,completed,59,71,65
964,male,group D,some college,standard,none,72,57,58
91,male,group C,high school,free/reduced,none,27,34,36
937,female,group E,high school,free/reduced,none,57,58,57
228,male,group A,some high school,free/reduced,none,68,72,64
838,male,group B,associate's degree,free/reduced,completed,58,57,53
977,male,group C,associate's degree,standard,none,62,65,58
259,female,group C,master's degree,free/reduced,completed,65,81,81
114,female,group E,bachelor's degree,standard,completed,99,100,100
639,female,group D,associate's degree,standard,none,76,74,73
572,female,group C,some college,standard,none,53,62,56
987,male,group E,some high school,standard,completed,81,75,76
341,female,group C,high school,standard,none,61,73,63
511,male,group A,some high school,standard,none,64,50,43
615,female,group C,high school,standard,none,60,68,72
317,male,group C,associate's degree,standard,none,83,72,78
568,male,group B,high school,free/reduced,none,63,48,47
29,female,group D,master's degree,standard,none,62,70,75
389,male,group D,master's degree,standard,none,73,70,75
744,male,group B,some college,free/reduced,none,55,55,47
585,female,group C,associate's degree,standard,none,65,76,76
578,female,group B,some college,free/reduced,completed,48,56,58
491,female,group C,associate's degree,standard,none,64,64,70
463,female,group C,some college,free/reduced,none,77,90,91
199,female,group B,bachelor's degree,free/reduced,none,78,79,76
738,male,group D,associate's degree,standard,none,81,71,73
979,female,group C,associate's degree,standard,none,91,95,94
926,male,group E,associate's degree,free/reduced,none,64,56,52
611,female,group C,some college,standard,none,58,59,66
396,female,group B,high school,free/reduced,none,50,67,63
257,male,group C,associate's degree,standard,completed,78,77,77
133,female,group C,some college,standard,completed,75,81,84
857,female,group C,bachelor's degree,standard,none,65,79,81
282,female,group D,bachelor's degree,free/reduced,none,73,79,84
231,male,group C,associate's degree,standard,none,46,43,42
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
457,male,group D,associate's degree,free/reduced,none,53,54,48
109,female,group B,some high school,standard,none,70,64,72
462,female,group E,some college,standard,none,71,70,76
372,male,group D,some high school,standard,none,74,74,72
484,female,group B,associate's degree,standard,none,49,52,54
846,male,group C,master's degree,standard,completed,91,85,85
722,female,group B,some high school,free/reduced,completed,74,90,88
695,female,group D,some college,free/reduced,none,79,89,86
407,female,group B,associate's degree,standard,none,82,80,77
914,female,group B,associate's degree,free/reduced,none,46,61,55
504,female,group D,master's degree,free/reduced,none,40,59,54
238,male,group B,some college,standard,none,54,52,51
833,female,group B,high school,standard,completed,77,82,89
296,male,group A,some high school,standard,completed,46,41,43
537,female,group D,high school,standard,none,51,66,62
820,female,group A,some high school,standard,completed,85,90,92
618,male,group D,master's degree,standard,none,95,81,84
721,male,group D,some high school,free/reduced,completed,55,59,59
878,female,group D,some high school,standard,none,59,72,80
466,female,group D,associate's degree,free/reduced,none,26,31,38
622,male,group C,high school,free/reduced,completed,58,51,52
598,female,group D,high school,standard,none,69,77,73
547,male,group C,high school,standard,completed,72,67,64
980,female,group B,high school,free/reduced,none,8,24,23
661,male,group C,some high school,standard,none,73,66,63
609,female,group B,associate's degree,standard,none,58,63,65
489,male,group A,associate's degree,free/reduced,completed,79,82,82
229,female,group C,some college,standard,completed,88,95,94
107,male,group E,associate's degree,standard,completed,66,63,64
253,male,group D,master's degree,standard,none,80,80,72
637,female,group D,some high school,standard,completed,80,92,88
377,female,group D,master's degree,free/reduced,completed,85,95,100
70,female,group D,some college,free/reduced,completed,58,63,73
559,male,group D,some high school,standard,none,73,66,62
819,female,group C,some high school,standard,none,77,91,88
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
669,male,group D,associate's degree,standard,completed,81,72,77
390,male,group E,some high school,free/reduced,completed,73,67,59
424,male,group B,some college,free/reduced,none,41,39,34
697,female,group A,bachelor's degree,standard,none,59,72,70
333,male,group B,associate's degree,standard,none,90,78,81
435,male,group C,some college,free/reduced,completed,50,48,53
546,female,group A,some high school,standard,completed,92,100,97
788,male,group C,associate's degree,free/reduced,none,68,65,61
558,female,group B,associate's degree,free/reduced,none,53,70,70
803,female,group B,some college,standard,none,82,85,87
118,female,group D,some high school,standard,none,51,63,61
336,male,group D,some high school,standard,completed,76,70,69
154,male,group D,some high school,standard,none,62,67,61
696,female,group C,associate's degree,standard,completed,75,82,90
968,female,group E,associate's degree,standard,none,68,76,67
768,female,group D,some high school,standard,none,68,71,75
990,male,group E,high school,free/reduced,completed,86,81,75
136,male,group B,some high school,standard,completed,51,54,41
620,female,group C,high school,free/reduced,none,35,61,54
50,male,group E,some college,standard,none,53,55,48
241,female,group E,bachelor's degree,standard,none,80,83,83
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
98,female,group D,some college,free/reduced,none,58,67,62
581,female,group E,some high school,standard,none,77,79,80
451,female,group E,some college,standard,none,100,92,97
651,female,group A,high school,standard,completed,68,80,76
83,male,group E,associate's degree,standard,none,72,64,63
594,female,group C,bachelor's degree,standard,completed,92,100,99
405,female,group C,some high school,standard,none,63,73,68
61,male,group A,some high school,free/reduced,none,39,39,34
146,male,group B,some high school,standard,none,88,84,75
400,female,group C,some high school,standard,completed,59,54,67
162,male,group B,master's degree,free/reduced,none,49,53,52
59,female,group C,some high school,free/reduced,none,0,17,10
306,male,group E,some college,standard,completed,99,87,81
3,male,group A,associate's degree,free/reduced,none,47,57,44
710,male,group C,some college,standard,completed,93,84,90
775,female,group B,some high school,free/reduced,none,49,58,55
761,female,group D,some high school,standard,none,48,58,54
119,female,group C,some college,standard,none,55,69,65
210,male,group D,some high school,free/reduced,completed,80,79,79
509,female,group C,bachelor's degree,standard,none,86,92,87
896,male,group B,high school,free/reduced,none,36,29,27
698,female,group D,associate's degree,standard,completed,57,78,79
266,female,group C,bachelor's degree,standard,none,63,75,81
790,female,group B,high school,standard,none,48,62,60
129,female,group A,bachelor's degree,standard,none,51,49,51
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
522,male,group D,bachelor's degree,standard,none,69,58,57
81,male,group B,high school,free/reduced,none,49,45,45
767,male,group B,high school,standard,completed,76,62,60
570,male,group B,some college,standard,completed,71,75,70
469,male,group C,some college,standard,none,91,74,76
178,female,group B,master's degree,free/reduced,completed,52,70,62
907,female,group D,some college,standard,completed,79,84,91
967,male,group C,some college,standard,none,63,63,60
567,female,group D,master's degree,free/reduced,completed,61,71,78
111,male,group C,high school,standard,none,62,55,49
920,male,group D,high school,free/reduced,none,69,70,67
965,female,group D,some college,standard,none,62,70,72
14,female,group A,master's degree,standard,none,50,53,58
214,male,group E,high school,standard,completed,87,91,81
596,male,group B,high school,free/reduced,none,30,24,15
327,male,group A,some college,free/reduced,none,28,23,19
160,male,group B,associate's degree,free/reduced,completed,82,78,74
476,male,group E,bachelor's degree,standard,completed,76,62,66
986,female,group C,associate's degree,standard,none,40,59,51
458,female,group E,bachelor's degree,standard,none,100,100,100
26,male,group B,some college,standard,none,69,54,55
626,male,group B,associate's degree,free/reduced,completed,69,70,63
688,male,group A,high school,free/reduced,none,53,58,44
892,female,group A,master's degree,free/reduced,none,50,67,73
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
888,female,group D,some college,free/reduced,none,69,65,74
25,male,group A,master's degree,free/reduced,none,73,74,72
769,male,group A,some college,free/reduced,none,58,60,57
752,male,group C,master's degree,free/reduced,completed,79,77,75
724,male,group B,some college,standard,none,47,43,41
49,male,group C,high school,standard,completed,82,84,82
439,male,group D,some high school,standard,completed,89,88,82
38,female,group D,associate's degree,free/reduced,completed,75,90,88
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
586,female,group A,high school,standard,none,55,73,73
740,male,group D,bachelor's degree,standard,none,80,73,72
958,female,group D,high school,standard,none,45,63,59
873,male,group E,associate's degree,free/reduced,none,90,90,82
343,male,group D,associate's degree,standard,completed,67,72,67
720,female,group C,some college,free/reduced,none,62,72,70
312,male,group D,bachelor's degree,standard,completed,67,61,68
549,male,group C,master's degree,standard,none,79,72,69
66,male,group D,some high school,free/reduced,none,45,37,37
205,male,group D,some high school,standard,completed,74,71,78
494,female,group B,high school,standard,none,54,64,68
870,male,group B,high school,standard,none,59,58,47
226,female,group C,some college,standard,none,72,72,71
481,female,group D,associate's degree,free/reduced,none,52,59,56
289,male,group E,some high school,standard,completed,77,76,77
433,female,group A,some high school,free/reduced,none,47,59,50
148,female,group D,bachelor's degree,standard,completed,68,75,81
478,female,group D,master's degree,standard,none,55,64,70
301,male,group D,some high school,free/reduced,none,56,54,52
227,male,group D,high school,standard,none,57,50,54
149,male,group E,associate's degree,free/reduced,completed,100,100,93
212,female,group C,high school,free/reduced,none,42,62,60
101,male,group D,bachelor's degree,standard,completed,68,74,74
992,female,group D,associate's degree,free/reduced,none,55,76,76
850,male,group C,master's degree,standard,none,71,67,67
605,male,group C,some high school,standard,none,75,72,62
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
332,male,group E,associate's degree,standard,completed,62,56,53
488,male,group B,some high school,standard,completed,64,53,57
633,female,group C,high school,standard,none,75,88,85
959,male,group C,high school,standard,none,75,81,71
23,female,group C,some high school,standard,none,69,73,73
714,female,group B,some high school,standard,completed,60,70,74
113,female,group D,some college,standard,none,51,58,54
808,male,group C,high school,standard,none,90,75,69
308,female,group B,associate's degree,free/reduced,none,53,71,67
946,male,group B,high school,standard,none,82,82,80
999,female,group D,some college,free/reduced,none,77,86,86
792,male,group D,high school,free/reduced,none,66,74,69
995,female,group E,master's degree,standard,completed,88,99,95
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60
560,female,group D,some college,standard,completed,74,75,79
550,male,group C,some high school,free/reduced,none,79,76,65
924,male,group D,high school,free/reduced,none,74,70,69
889,male,group D,high school,free/reduced,none,44,51,48
840,female,group D,high school,free/reduced,none,39,52,46
63,female,group C,associate's degree,standard,none,69,80,71
517,female,group E,some college,standard,completed,66,74,73
847,male,group D,high school,standard,none,64,54,50
219,male,group B,some high school,standard,completed,61,56,56
866,male,group C,high school,free/reduced,none,59,53,52
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
58,male,group D,some college,standard,completed,58,59,58
2,female,group B,master's degree,standard,none,90,95,93
208,female,group B,some college,free/reduced,none,74,81,76
599,female,group D,some high school,standard,none,65,82,81
477,male,group D,associate's degree,standard,none,80,68,72
794,female,group B,high school,standard,none,42,52,51
391,female,group D,some college,standard,none,77,68,77
876,male,group D,some college,standard,none,81,82,84
505,female,group B,some high school,standard,none,82,82,80
275,male,group C,bachelor's degree,standard,none,83,78,73
348,male,group D,high school,free/reduced,none,75,74,66
106,female,group D,master's degree,standard,none,87,100,100
541,male,group D,associate's degree,free/reduced,completed,79,82,80
829,male,group B,some high school,standard,none,68,54,53
198,female,group B,some college,free/reduced,none,45,53,55
17,female,group B,some high school,free/reduced,none,18,32,28
921,female,group C,high school,free/reduced,none,35,53,46
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
575,male,group A,associate's degree,free/reduced,completed,40,55,53
281,male,group D,high school,standard,none,45,48,46
352,female,group C,some college,standard,completed,63,78,80
984,female,group C,some high school,standard,none,74,75,82
636,female,group B,high school,free/reduced,completed,67,80,81
952,female,group E,some high school,free/reduced,none,74,74,72
532,male,group E,associate's degree,standard,completed,62,61,58
359,female,group D,some college,standard,none,80,90,89
187,male,group D,some high school,standard,completed,62,66,68
207,male,group E,high school,standard,completed,81,80,76
165,female,group C,bachelor's degree,standard,completed,96,100,100
678,male,group D,associate's degree,free/reduced,none,81,75,78
900,male,group D,master's degree,standard,none,85,84,89
269,female,group E,some college,free/reduced,none,71,76,70
616,female,group E,bachelor's degree,standard,none,37,45,38
770,male,group B,high school,standard,none,52,48,49
288,male,group B,bachelor's degree,free/reduced,none,88,75,76
694,female,group C,some high school,standard,none,49,63,56
778,female,group A,some college,standard,completed,72,79,82
251,female,group D,some college,free/reduced,none,71,83,83
512,male,group D,some high school,free/reduced,none,62,49,52
36,female,group D,associate's degree,standard,none,74,81,83
394,female,group C,some high school,standard,completed,65,74,77
297,male,group E,associate's degree,standard,completed,71,74,68
19,female,group C,associate's degree,free/reduced,none,54,58,61
310,female,group B,associate's degree,standard,none,73,76,80
553,male,group D,some college,free/reduced,none,77,62,64
267,female,group D,high school,standard,none,69,72,77
112,male,group A,associate's degree,standard,none,54,53,47
693,female,group D,associate's degree,standard,none,77,77,73
632,female,group B,bachelor's degree,standard,completed,66,74,81
291,male,group D,some high school,standard,none,86,73,70
899,female,group D,some high school,standard,completed,65,78,82
644,male,group B,high school,standard,none,70,65,60
886,female,group E,associate's degree,standard,completed,93,100,95
189,female,group C,bachelor's degree,standard,none,77,88,87
247,female,group B,high school,standard,completed,58,70,68
5,female,group B,associate's degree,standard,none,71,83,78
660,male,group C,some college,free/reduced,none,74,77,73
563,female,group D,some college,free/reduced,completed,63,80,80
863,female,group C,some college,standard,completed,71,71,80
712,female,group D,some college,standard,none,98,100,99
145,female,group C,some college,free/reduced,none,22,39,33
471,female,group C,high school,standard,none,63,69,74
204,male,group C,some college,standard,none,59,41,42
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
906,male,group B,high school,standard,none,57,48,51
397,female,group C,associate's degree,standard,none,85,89,95
316,female,group D,master's degree,standard,completed,77,82,91
432,male,group C,high school,standard,none,61,56,55
842,female,group B,high school,free/reduced,completed,23,44,36
533,female,group E,associate's degree,standard,completed,79,88,94
362,female,group C,some college,standard,none,52,58,58
954,female,group C,some college,standard,none,62,69,69
927,female,group D,high school,free/reduced,completed,65,61,71
127,male,group D,some college,standard,completed,65,77,74
561,female,group C,some college,standard,none,63,74,74
789,female,group C,master's degree,free/reduced,none,52,65,61
849,male,group D,associate's degree,standard,none,80,75,69
314,female,group C,bachelor's degree,standard,completed,59,64,75
423,female,group A,some high school,standard,completed,59,85,80
331,male,group C,associate's degree,standard,none,47,37,35
656,male,group C,associate's degree,free/reduced,none,77,67,64
552,female,group B,associate's degree,standard,none,40,48,50
404,female,group C,high school,standard,none,54,59,62
474,female,group B,associate's degree,standard,completed,90,90,91
368,female,group A,some high school,free/reduced,none,44,64,58
737,female,group B,some college,free/reduced,completed,53,66,73
843,male,group B,some college,free/reduced,completed,74,77,76
42,female,group B,associate's degree,standard,none,53,58,65
388,female,group D,high school,standard,none,62,64,64
117,female,group D,bachelor's degree,standard,none,78,82,79
493,female,group C,bachelor's degree,standard,none,81,88,90
270,male,group C,bachelor's degree,standard,none,69,63,61
324,female,group C,high school,free/reduced,none,41,46,43
751,male,group E,some college,standard,none,68,72,65
0,female,group B,bachelor's degree,standard,none,72,72,74
9,female,group B,high school,free/reduced,none,38,60,50
55,female,group C,high school,free/reduced,none,33,41,43
902,female,group A,high school,free/reduced,completed,34,48,41
787,female,group B,some college,standard,none,19,38,32
917,female,group C,high school,standard,none,44,61,52
455,male,group C,bachelor's degree,free/reduced,none,37,56,47
877,male,group C,some high school,standard,none,57,61,54
595,female,group C,bachelor's degree,standard,completed,56,79,72
932,male,group D,associate's degree,free/reduced,completed,61,71,73
717,female,group C,associate's degree,standard,completed,96,96,99
319,female,group D,associate's degree,free/reduced,none,56,65,63
385,female,group E,some college,standard,none,67,76,75
556,female,group C,associate's degree,standard,completed,55,72,79
989,female,group D,some college,free/reduced,completed,67,86,83
434,male,group C,some high school,standard,none,73,66,66
18,male,group C,master's degree,free/reduced,completed,46,42,46
776,female,group B,high school,standard,none,66,72,70
962,female,group E,associate's degree,standard,none,100,100,100
186,male,group E,high school,standard,none,80,76,65
86,female,group C,some college,free/reduced,none,76,83,88
791,female,group D,some college,free/reduced,none,60,66,70
503,female,group E,associate's degree,standard,completed,95,89,92
46,female,group A,associate's degree,standard,completed,55,65,62
168,female,group B,high school,standard,completed,68,83,78
674,female,group D,high school,standard,completed,69,77,78
871,female,group C,some college,standard,completed,70,72,76
221,male,group B,associate's degree,standard,none,87,85,73
915,female,group E,some college,standard,none,68,70,66
436,male,group D,associate's degree,standard,none,75,68,64
822,male,group E,some college,free/reduced,completed,49,52,51
957,female,group D,master's degree,standard,none,92,100,100
983,female,group A,some college,standard,completed,78,87,91
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
827,female,group C,some high school,standard,none,65,69,76
258,female,group B,some college,standard,none,70,75,78
137,male,group E,high school,standard,none,70,55,56
330,male,group C,high school,standard,none,71,60,61
376,female,group D,some high school,standard,none,80,90,82
454,female,group C,associate's degree,free/reduced,none,53,61,62
